MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
18.2;5;6158;0;;97;;;1.73
15.2;4.8;3653;1;;97.5;;;1.36
13.4;9;1334;12.4;;96;;;1.44
12.8;8.8;3019;3.2;;94;;;1.46
11.4;2.4;4657;0;;96;;;1.46
12;1.5;3556;0;;97;;;1.08
15.8;7;3304;0;;97.5;;;1.27
15.8;9.2;2979;0.2;;97;;;1.62
11.2;8;943;0;;65;;;1.94
10.6;7.2;1693;0;;64.5;;;1.92
12.2;4.2;3571;0;;90;;;1.84
11.2;4.8;2377;0;;88;;;1.38
11.4;5.8;2172;0.8;;94;;;1.65
15.2;5.8;2672;1.4;;97;;;1.1
17.6;11.6;3258;7.6;;97;;;1.44
13;8.6;3466;20.6;;94;;;1.37
11.4;2.4;5467;0;;92.5;;;1.5
13.2;0.2;6422;0;;94;;;1.83
14;2.7;5074;0;;90;;;1.65
15;6.1;4634;0;;93;;;1.54
15.4;5.8;4126;0;;92;;;1.93
18.6;8.4;5438;0;;96;;;1.71
18;8;5895;0;;97;;;1.42
19;6;6777;0;;97;;;2.08
15.2;7;5290;0;;97;;;1.44
12.8;4;5765;0;;84;;;2.17
13.6;1.5;6364;0;;90.5;;;2.09
13.4;4;6085;0;;90;;;1.88
14.8;2;7810;0;;97;;;1.88
14.4;0.9;7427;0;;97;;;1.68
14.6;3.2;6881;0;;97;;;1.7
12.7;3.2;3294;4.6;;97;;;0.93
15;9.4;2872;8.4;;97;;;1.1
16;8.5;2286;0;;96;;;1.91
18;12.9;3025;0;;84.5;;;2.12
17;10.5;3597;46;;97;;;1.79
17.6;9.7;5980;0;;86.5;;;1.89
17.1;6.1;6350;0;;97;;;1.8
13.4;8.1;1749;4.8;;92.5;;;1.22
16.2;10;3569;0;;95;;;1.64
17.7;9.1;5817;0;;96.5;;;1.95
16.1;7.9;5536;0;;97;;;1.57
16.6;6.9;5762;1.2;;95.5;;;1.91
17.3;8.5;6988;0.2;;93;;;2.24
16.5;5.5;8292;0;;94;;;2.39
15.4;4;8904;0;;96;;;2.32
15;2.1;8758;0;;97.5;;;2.11
16.2;4.1;9080;0;;93;;;2.66
14.1;3.5;8563;0;;82.5;;;2.46
15.7;2;9978;0;;97;;;2.38
15.3;2.7;8801;0;;97;;;1.94
15.6;4.9;5181;0;;97;;;1.74
13.7;11;1451;0;;93;;;1.32
17;9.1;6493;0;;94.8;;;1.94
18.6;7;7995;0;;94.6;;;2.46
15.8;9.2;4167;0;;92.4;;;1.67
17.7;9.3;7274;0;;89.8;;;2.52
18.5;7;9213;0;;95.1;;;2.7
19;6.9;10137;0;;96.2;;;2.72
19.4;5.9;10511;0;;97.6;;;2.64
19.4;7.4;10160;0;;92;;;3.09
20;7;9141;0;;91.5;;;2.55
22.2;11;9959;0;;96;;;2.63
21.5;9.5;9457;0;;94;;;2.74
24;11;11194;0;;90;;;3.52
19.1;10.4;8938;0.2;;97;;;2.5
18.2;7;9803;0;;97;;;2.8
21;7.3;11766;0;;95;;;3.16
18;8;9366;1;;96.5;;;2.46
17;7.1;6520;0.8;;97;;;1.87
13.7;11.1;793;48;;97;;;1.24
16;11.5;4214;1.6;;87.5;;;1.81
17.2;8.6;8617;0;;81.5;;;2.76
17;6.9;10859;0;;95.5;;;2.82
16;4.5;10047;0;;96.5;;;2.37
19;6.8;9596;0;;96;;;2.96
19.2;10.9;9204;0.6;;97.5;;;2.52
20;7.9;11691;0;;97;;;2.9
21;8.2;10630;0.2;;96;;;3.05
20;11.9;7243;0;;85.5;;;2.77
19;11.8;7236;0;;87.5;;;2.5
21.5;10.1;11981;0;;96;;;3.27
21.6;9;11304;0;;97;;;3.16
15.1;11.7;1435;18.8;;97.5;;;1.14
17;12.3;3889;0;;87.5;;;2.16
16.3;11;7384;0.4;;96;;;1.94
17.3;6;8735;0;;97.5;;;2.34
16.3;11.2;4492;4;;96.5;;;1.7
17.4;10;8514;8.6;;96.9;;;2.25
16;7.8;8140;6.6;;96.6;;;2.25
17;8;7208;0.2;;89.5;;;2.41
21.1;10.9;12516;0;;92.6;;;3.3
21.6;8;14549;0;;95.3;;;4.09
22.3;8.2;15317;0;;95;;;4
23.4;7.8;15642;0;;95.6;;;4.21
21.8;9.7;12713;0;;98;;;3.29
18.8;10.8;7746;0;;96;;;2.4
22;11.2;11643;0;;96;;;3.35
20.9;11.6;12540;0.6;;91.9;;;3.25
17.7;7.9;11652;0.6;;97.5;;;3.14
18;7.1;13402;0;;97;;;3.3
21;6;15093;0;;96.8;;;3.69
25.1;9.9;15658;0;;97.3;;;4.61
25;12.6;15112;4.8;;95.2;;;4.19
20;11;10736;0.8;;97.3;;;3.24
20.1;10;11774;2;;96.8;;;2.92
16.8;9.9;6953;11.6;;97.3;;;2.34
17;9.9;6897;11.4;;97.2;;;2.23
16.5;10.4;8129;1.8;;96.5;;;2.25
17;7.5;9098;0.2;;97.6;;;2.23
15.7;10.3;6274;3.8;;96.8;;;1.88
14.9;8.4;8525;0;;92;;;2.57
16.1;6.2;11940;0;;97.4;;;2.93
19;6.7;13798;0;;97.4;;;3.69
19;9.2;13019;0;;95.5;;;3.29
19.8;7.8;12485;0;;97.4;;;3.35
21.8;11.5;12178;0;;97.4;;;3.71
21.8;12;12626;0;;96.9;;;3.57
24.7;11;16455;0;;97;;;4.53
18.4;11.9;6112;4.2;;97.3;;;2.23
15.6;12.5;3631;0.2;;83.8;;;2.08
17.4;9.8;9379;0;;96.7;;;2.66
18.8;9.4;12689;0;;97.5;;;2.97
22;8.8;16922;0;;97.6;;;4.2
22.9;9.9;17475;0;;97.5;;;4.59
25.2;9.7;18990;0;;93.2;;;5.09
25.7;11.6;16789;0;;92.1;;;5.08
23.5;14.5;11443;0.4;;90.1;;;4.09
22.4;14.3;9849;29;;97.6;;;2.85
21.7;14.2;9015;3.2;;96.9;;;2.86
21;13.9;7804;0;;98;;;2.3
19.4;14.2;5425;0;;96.8;;;1.82
21.5;13.5;12694;0;;90.3;;;3.3
20.8;10.3;16357;0;;97;;;3.81
21;7.8;16407;0;;96.7;;;3.83
22;10.7;16255;0;;97.1;;;4.21
22.5;9.9;15631;0;;97;;;4.23
26;12.5;17646;0;;95;;;5.3
27;13.8;18602;0;;95.8;;;5.43
30;13;20103;0;;96;;;6.22
31.7;16.8;20338;46.2;;97.2;;;6.1
21;16;5676;12.4;;96;;;1.95
22;14.7;9905;4.2;;95.3;;;2.92
22.5;13.4;12885;0;;96;;;3.76
23.8;12.5;14736;8.2;;96;;;4.04
22;13.8;12244;1.4;;96.2;;;3.42
23.7;11.9;14714;0;;96.4;;;3.96
27.1;14.3;17343;0;;95.7;;;5.45
23.9;15.1;13363;17.4;;96.6;;;3.81
20.6;13.1;9561;0;;96;;;2.97
21.4;12.8;11927;0;;95.8;;;3.75
21.8;12.2;15865;0;;96;;;4.36
23.6;10;18065;0;;97.4;;;4.81
25.6;13;17021;0;;96.8;;;4.92
30.2;15.1;21109;0;;95.7;;;6.31
29.2;16;19581;0;;95;;;6.03
27.8;15.7;14265;0;;95.3;;;4.29
24.2;19.8;4457;0;;89;;;2.81
28;19;15298;0;;95.2;;;4.99
23.8;15.9;11494;0;;95.2;;;3.63
22.2;14.8;11722;0;;94.8;;;3.75
23.5;12.6;13980;0;;95;;;3.89
23.1;15;11865;0;;95;;;3.57
23;14;15571;3;;96;;;4.28
24.8;11;18914;0;;97.4;;;4.82
28.6;13.4;21698;0;;97;;;6.34
